customer_id,job_time
1,260
2,75
3,360
4,305
5,105
6,415
7,435
8,375
9,375
10,440
11,120
12,15
13,110
14,265
15,10
16,440
17,150
18,190
19,10
20,320
21,300
22,105
23,165
24,380
25,290
26,110
27,445
28,245
29,455
30,295
31,210
32,460
33,300
34,400
35,75
36,310
37,310
38,235
39,310
40,255
41,275
42,320
43,15
44,255
45,35
46,105
47,365
48,195
49,90
50,20
51,445
52,300
53,70
54,45
55,450
56,265
57,10
58,420
59,460
60,300
61,355
62,220
63,40
64,235
65,175
66,390
67,405
68,180
69,250
70,20
71,10
72,30
73,270
74,20
75,270
76,315
77,90
78,450
79,220
80,170
81,370
82,310
83,70
84,240
85,75
86,360
87,390
88,435
89,310
90,200
91,425
92,400
93,410
94,265
95,120
96,130
97,445
98,300
99,205
100,145
