NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 250
3 420
4 124
5 48
6 114
7 27
8 132
9 34
10 204
11 40
12 150
13 141
14 144
15 75
16 129
17 256
18 392
19 234
20 84
21 90
22 140
23 312
24 164
25 31
26 144
27 333
28 52
29 308
30 198
31 50
32 280
33 145
34 322
35 144
36 25
37 42
38 186
39 490
40 152
41 216
42 360
43 272
44 306
45 287
46 300
47 94
48 370
49 234
50 172
51 96
52 100
53 39
54 84
55 460
56 70
57 364
58 84
59 248
60 240
61 259
62 270
63 44
64 99
65 510
66 360
67 116
68 94
69 36
70 125
71 172
72 288
73 245
74 76
75 280
76 315
77 238
78 156
79 123
80 300
81 96
82 148
83 52
84 308
85 264
86 50
87 351
88 29
89 276
90 245
91 225
92 252
93 217
94 343
95 304
96 27
97 308
98 136
99 357
100 120
101 60
EOF
