NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 75
3 294
4 62
5 48
6 228
7 108
8 352
9 34
10 510
11 120
12 120
13 47
14 36
15 200
16 86
17 224
18 490
19 234
20 28
21 45
22 280
23 260
24 82
25 279
26 480
27 185
28 234
29 264
30 165
31 200
32 120
33 290
34 414
35 288
36 175
37 420
38 279
39 490
40 152
41 189
42 270
43 102
44 510
45 205
46 150
47 376
48 74
49 182
50 86
51 320
52 450
53 117
54 224
55 184
56 175
57 468
58 84
59 124
60 96
61 37
62 135
63 264
64 33
65 153
66 240
67 261
68 470
69 252
70 100
71 129
72 64
73 392
74 190
75 112
76 270
77 272
78 260
79 369
80 120
81 288
82 111
83 182
84 396
85 33
86 350
87 195
88 261
89 322
90 35
91 175
92 336
93 124
94 490
95 342
96 108
97 220
98 170
99 459
100 360
101 120
EOF
