NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 225
3 210
4 93
5 288
6 152
7 189
8 220
9 238
10 153
11 360
12 30
13 282
14 216
15 25
16 344
17 256
18 245
19 39
20 196
21 270
22 280
23 520
24 246
25 186
26 96
27 222
28 182
29 132
30 132
31 500
32 120
33 29
34 460
35 36
36 225
37 252
38 186
39 98
40 38
41 216
42 225
43 34
44 510
45 82
46 120
47 94
48 74
49 52
50 344
51 288
52 350
53 78
54 280
55 46
56 105
57 312
58 210
59 248
60 336
61 37
62 81
63 132
64 33
65 357
66 400
67 174
68 188
69 216
70 125
71 86
72 96
73 49
74 76
75 84
76 135
77 272
78 312
79 410
80 180
81 48
82 37
83 78
84 308
85 33
86 100
87 234
88 58
89 276
90 140
91 75
92 252
93 310
94 245
95 304
96 270
97 264
98 34
99 408
100 200
101 30
EOF
