NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 150
3 378
4 248
5 96
6 342
7 135
8 264
9 102
10 204
11 240
12 150
13 141
14 252
15 225
16 344
17 160
18 245
19 312
20 28
21 90
22 280
23 208
24 123
25 31
26 432
27 259
28 156
29 132
30 132
31 400
32 320
33 232
34 138
35 360
36 175
37 294
38 186
39 343
40 152
41 108
42 360
43 34
44 102
45 205
46 30
47 47
48 222
49 78
50 344
51 288
52 100
53 39
54 168
55 276
56 315
57 52
58 42
59 31
60 144
61 296
62 81
63 132
64 66
65 255
66 120
67 174
68 376
69 144
70 50
71 301
72 32
73 490
74 190
75 112
76 450
77 68
78 208
79 287
80 270
81 96
82 296
83 78
84 44
85 132
86 100
87 156
88 203
89 460
90 210
91 150
92 126
93 279
94 343
95 114
96 27
97 440
98 102
99 510
100 320
101 120
EOF
