NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 150
3 252
4 31
5 192
6 114
7 162
8 44
9 68
10 408
11 160
12 210
13 282
14 180
15 75
16 301
17 96
18 245
19 78
20 224
21 405
22 175
23 156
24 410
25 31
26 144
27 370
28 78
29 176
30 132
31 250
32 240
33 58
34 92
35 36
36 25
37 420
38 31
39 343
40 38
41 162
42 180
43 34
44 459
45 369
46 210
47 423
48 185
49 104
50 43
51 96
52 100
53 78
54 196
55 322
56 280
57 208
58 126
59 310
60 48
61 185
62 162
63 352
64 198
65 510
66 360
67 261
68 376
69 216
70 250
71 129
72 64
73 147
74 380
75 280
76 315
77 170
78 156
79 287
80 30
81 192
82 148
83 182
84 132
85 33
86 150
87 312
88 174
89 276
90 315
91 75
92 84
93 155
94 392
95 304
96 27
97 440
98 102
99 51
100 320
101 60
EOF
