NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 150
3 126
4 186
5 480
6 228
7 108
8 176
9 102
10 153
11 120
12 240
13 188
14 360
15 100
16 387
17 320
18 490
19 117
20 28
21 225
22 210
23 416
24 164
25 186
26 192
27 111
28 104
29 308
30 231
31 100
32 360
33 174
34 46
35 288
36 175
37 84
38 31
39 441
40 304
41 27
42 405
43 102
44 357
45 410
46 240
47 94
48 333
49 78
50 172
51 224
52 50
53 78
54 28
55 368
56 70
57 156
58 294
59 62
60 288
61 333
62 108
63 396
64 297
65 153
66 80
67 232
68 329
69 180
70 225
71 215
72 224
73 392
74 152
75 168
76 360
77 170
78 156
79 123
80 120
81 192
82 111
83 78
84 132
85 297
86 50
87 78
88 290
89 230
90 175
91 75
92 252
93 279
94 490
95 114
96 81
97 132
98 204
99 357
100 40
101 210
EOF
