NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 50
3 252
4 93
5 192
6 342
7 27
8 132
9 136
10 357
11 120
12 60
13 470
14 108
15 50
16 258
17 288
18 98
19 351
20 280
21 360
22 35
23 312
24 410
25 62
26 336
27 74
28 52
29 396
30 231
31 200
32 360
33 174
34 276
35 324
36 225
37 84
38 310
39 294
40 380
41 216
42 360
43 102
44 102
45 287
46 270
47 423
48 37
49 26
50 258
51 128
52 400
53 351
54 280
55 184
56 70
57 468
58 294
59 310
60 144
61 333
62 270
63 352
64 99
65 459
66 200
67 174
68 235
69 36
70 50
71 387
72 96
73 147
74 304
75 84
76 45
77 34
78 156
79 369
80 120
81 480
82 185
83 234
84 132
85 132
86 150
87 117
88 29
89 230
90 70
91 125
92 210
93 248
94 245
95 152
96 81
97 396
98 68
99 102
100 280
101 180
EOF
