NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 225
3 798
4 217
5 672
6 152
7 486
8 352
9 170
10 459
11 200
12 90
13 94
14 216
15 250
16 860
17 608
18 490
19 585
20 112
21 675
22 350
23 676
24 369
25 527
26 864
27 592
28 390
29 132
30 660
31 100
32 560
33 319
34 920
35 324
36 25
37 126
38 248
39 931
40 722
41 27
42 405
43 646
44 102
45 246
46 480
47 799
48 555
49 234
50 258
51 608
52 700
EOF
