NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 125
3 840
4 558
5 48
6 494
7 513
8 836
9 34
10 153
11 560
12 150
13 705
14 216
15 50
16 387
17 416
18 539
19 273
20 420
21 495
22 385
23 676
24 369
25 434
26 432
27 111
28 416
29 44
30 594
31 100
32 480
33 232
34 138
35 72
36 25
37 336
38 217
39 49
40 760
41 135
42 360
43 170
44 816
45 164
46 570
47 329
48 555
49 234
50 516
51 192
52 1000
EOF
