NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 175
3 210
4 31
5 96
6 304
7 432
8 880
9 102
10 765
11 560
12 570
13 329
14 468
15 400
16 559
17 256
18 245
19 39
20 112
21 630
22 280
23 312
24 697
25 465
26 96
27 666
28 208
29 176
30 495
31 250
32 600
33 493
34 828
35 720
36 275
37 630
38 620
39 833
40 532
41 486
42 675
43 204
44 816
45 615
46 270
47 376
48 333
49 442
50 688
51 256
52 450
EOF
