NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 475
3 84
4 155
5 240
6 722
7 270
8 132
9 272
10 204
11 720
12 420
13 940
14 720
15 500
16 344
17 544
18 637
19 585
20 420
21 450
22 665
23 728
24 410
25 589
26 960
27 74
28 520
29 176
30 231
31 350
32 360
33 87
34 276
35 288
36 150
37 756
38 93
39 294
40 38
41 378
42 675
43 680
44 816
45 410
46 60
47 376
48 370
49 260
50 645
51 96
52 400
EOF
