NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 450
3 588
4 93
5 384
6 152
7 405
8 176
9 170
10 816
11 400
12 510
13 423
14 504
15 400
16 688
17 256
18 735
19 702
20 140
21 585
22 245
23 1040
24 697
25 155
26 144
27 333
28 364
29 484
30 561
31 450
32 40
33 290
34 460
35 684
36 475
37 672
38 155
39 735
40 684
41 432
42 540
43 374
44 918
45 738
46 390
47 705
48 407
49 182
50 344
51 608
52 650
EOF
