NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 500
3 168
4 186
5 480
6 152
7 513
8 44
9 340
10 969
11 520
12 390
13 329
14 108
15 475
16 344
17 128
18 490
19 780
20 112
21 855
22 70
23 624
24 738
25 434
26 576
27 111
28 442
29 484
30 33
31 700
32 640
33 116
34 644
35 432
36 375
37 210
38 434
39 294
40 646
41 243
42 900
43 612
44 816
45 615
46 420
47 893
48 333
49 286
50 344
51 96
52 450
EOF
