NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 375
3 336
4 465
5 912
6 760
7 351
8 484
9 34
10 816
11 440
12 180
13 752
14 252
15 300
16 387
17 352
18 441
19 780
20 252
21 810
22 35
23 884
24 287
25 93
26 384
27 518
28 416
29 792
30 264
31 800
32 640
33 435
34 46
35 108
36 250
37 336
38 403
39 392
40 380
41 513
42 540
43 544
44 918
45 697
46 360
47 658
48 666
49 286
50 516
51 480
52 450
EOF
