NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 400
3 126
4 496
5 576
6 532
7 297
8 484
9 136
10 306
11 440
12 420
13 752
14 360
15 325
16 774
17 64
18 735
19 117
20 308
21 405
22 385
23 208
24 533
25 527
26 48
27 666
28 390
29 616
30 66
31 350
32 680
33 348
34 920
35 576
36 375
37 84
38 217
39 441
40 684
41 135
42 450
43 510
44 816
45 164
46 30
47 940
48 296
49 156
50 430
51 576
52 50
EOF
