NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 250
3 378
4 248
5 192
6 266
7 297
8 176
9 612
10 306
11 280
12 210
13 752
14 324
15 475
16 731
17 640
18 490
19 156
20 196
21 450
22 280
23 624
24 246
25 310
26 48
27 666
28 130
29 396
30 66
31 100
32 720
33 290
34 230
35 576
36 100
37 42
38 589
39 490
40 608
41 432
42 675
43 374
44 306
45 82
46 270
47 752
48 148
49 78
50 559
51 512
52 150
EOF
