NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 100
3 420
4 155
5 336
6 38
7 216
8 220
9 102
10 510
11 400
12 30
13 376
14 180
15 200
16 129
17 320
18 343
19 273
20 280
21 225
22 70
23 416
24 410
25 310
26 336
27 296
28 26
29 396
30 33
31 450
32 400
33 232
34 230
35 288
36 125
37 378
38 186
39 490
40 380
41 135
42 315
43 170
44 102
45 369
46 120
47 470
48 333
49 130
50 86
51 224
EOF
