customer_id,processing_time
1,103
2,436
3,271
4,107
5,72
6,21
7,615
8,122
9,467
10,215
11,331
12,459
13,88
14,373
15,100
16,131
17,309
18,344
19,492
20,414
21,386
22,192
23,277
24,161
25,460
26,314
27,22
28,253
29,561
30,475
31,59
32,511
33,476
34,190
35,563
36,567
37,244
38,505
39,131
40,485
41,21
42,167
43,274
44,388
45,601
46,316
47,14
48,242
49,346
50,565
51,340
52,92
53,367
54,455
55,428
56,509
57,35
58,206
59,81
60,562
61,388
62,2
63,390
64,566
65,106
66,477
67,402
68,556
69,162
70,202
71,270
72,271
73,456
74,462
75,252
76,296
77,338
78,53
79,217
80,188
81,380
82,493
83,41
84,157
85,15
86,65
87,521
88,344
89,129
90,472
91,63
92,139
93,499
94,593
95,392
96,419
97,289
98,379
99,490
100,231
101,41
102,28
103,135
104,201
105,33
106,48
107,503
108,407
109,574
110,99
111,547
112,613
113,462
114,5
115,218
116,503
117,398
118,393
119,207
120,15
121,554
122,461
123,575
124,241
125,564
126,96
127,485
128,407
129,231
130,171
131,541
132,36
133,525
134,160
135,243
136,86
137,578
138,557
139,574
140,28
141,620
142,556
143,340
144,331
145,506
146,348
147,473
148,231
149,190
150,225
151,385
152,377
153,283
154,628
155,259
156,359
157,456
158,411
159,318
160,225
161,234
162,374
163,608
164,472
165,233
166,113
167,497
168,442
169,564
170,268
171,510
172,386
173,387
174,113
175,613
176,625
177,81
178,113
179,2
180,220
181,566
182,225
183,385
184,403
185,130
186,53
187,416
188,247
189,439
190,203
191,184
192,123
193,401
194,294
195,280
196,610
197,198
198,511
199,144
200,609
201,201
202,124
203,187
204,326
205,464
206,349
207,403
208,346
209,511
210,147
211,148
212,489
213,551
214,338
215,473
216,151
217,415
218,298
219,611
220,263
221,144
222,346
223,624
224,572
225,2
226,304
227,254
228,453
229,37
230,160
231,9
232,233
233,99
234,208
235,131
236,404
237,152
238,54
239,120
240,628
241,587
242,625
243,420
244,422
245,104
246,254
247,227
248,112
249,510
250,473
251,99
252,153
253,338
254,163
255,161
256,580
257,398
258,277
259,504
260,392
261,135
262,195
263,401
264,33
265,460
266,470
267,375
268,22
269,38
270,230
271,365
272,563
273,438
274,283
275,27
276,226
277,277
278,609
279,284
280,481
281,453
282,516
283,547
284,192
285,49
286,512
287,17
288,172
289,220
290,158
291,477
292,46
293,373
294,518
295,99
296,37
297,280
298,349
299,497
300,302
301,181
302,607
303,99
304,116
305,191
306,253
307,161
308,256
309,323
310,128
311,18
312,566
313,570
314,323
315,626
316,288
317,155
318,490
319,386
320,104
321,393
322,246
323,176
324,39
325,477
326,538
327,408
328,525
329,506
330,36
331,20
332,321
333,512
334,400
335,471
336,143
337,92
338,354
339,51
340,575
341,190
342,125
343,150
344,314
345,570
346,342
347,305
348,54
349,444
350,613
351,264
352,53
353,572
354,620
355,5
356,103
357,196
358,350
359,47
