customer_id,job_time
1,4365
2,18925
3,15525
4,2395
5,17285
6,15920
7,14660
8,715
9,8490
10,3910
11,12020
12,12230
13,5985
14,16990
15,20650
16,14585
17,2435
18,5475
19,12855
20,10300
21,13800
22,4940
23,9095
24,1010
25,13735
26,15090
27,9560
28,6400
29,7705
30,16075
31,17845
32,19515
33,3295
34,14505
35,12240
36,3065
37,11880
38,10370
39,1270
40,10270
41,14185
42,13125
43,6880
44,7455
45,12845
46,3940
47,20135
48,235
49,15825
50,9840
51,7990
52,19780
53,15430
54,5170
55,17370
56,13130
57,19280
58,7565
59,870
60,9970
61,5040
62,16775
63,19055
64,6440
65,5145
66,1750
67,4455
68,5445
69,20030
70,1960
71,2525
72,10375
73,19485
74,385
75,12905
76,10200
77,13540
78,7540
79,2020
80,17870
81,11455
82,15560
83,1065
84,15585
85,12335
86,18290
87,4085
88,13720
89,13930
90,7915
91,13515
92,19265
93,5205
94,2575
95,4415
96,1095
97,7485
98,4380
99,14015
