NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 125
3 210
4 155
5 240
6 190
7 135
8 220
9 170
10 255
11 200
12 150
13 235
14 180
15 125
16 215
17 160
18 245
19 195
20 140
21 225
22 175
23 260
24 205
25 155
26 240
27 185
28 130
29 220
30 165
31 250
32 200
33 145
34 230
35 180
36 125
37 210
38 155
39 245
40 190
41 135
42 225
43 170
44 255
45 205
46 150
47 235
48 185
49 130
50 215
51 160
EOF
