NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 175
3 630
4 93
5 912
6 532
7 432
8 484
9 374
10 765
11 760
12 120
13 235
14 36
15 500
16 430
17 352
18 441
19 39
20 168
21 810
22 700
23 468
24 410
25 217
26 864
27 629
28 130
29 572
30 627
31 750
32 520
33 551
34 414
35 144
36 200
37 546
38 403
39 784
40 342
41 486
42 765
43 476
44 867
45 820
46 570
47 611
48 740
49 26
50 731
51 512
52 850
53 546
54 224
55 874
56 105
57 520
58 168
59 558
60 384
61 407
62 513
63 88
64 660
65 510
66 800
67 58
68 470
69 360
70 225
71 645
72 288
73 294
74 570
75 56
76 675
77 170
78 624
79 410
80 270
81 528
82 185
83 416
84 792
85 462
86 150
87 78
88 580
89 506
90 315
91 375
92 252
93 558
94 784
95 342
96 54
97 660
98 374
99 153
100 800
EOF
