NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 400
3 504
4 434
5 144
6 646
7 243
8 528
9 272
10 561
11 640
12 450
13 752
14 576
15 425
16 516
17 608
18 245
19 780
20 252
21 495
22 595
23 416
24 574
25 93
26 864
27 629
28 182
29 660
30 330
31 500
32 720
33 551
34 276
35 252
36 500
37 546
38 62
39 490
40 190
41 243
42 405
43 374
44 51
45 246
46 360
47 611
48 592
49 52
50 215
51 128
52 800
53 663
54 168
55 920
56 385
57 988
58 756
59 558
60 144
61 481
62 108
63 44
64 264
65 765
66 560
67 203
68 282
69 684
70 250
71 43
72 256
73 833
74 38
75 280
76 315
77 544
78 468
79 123
80 180
81 672
82 740
83 468
84 44
85 561
86 650
87 429
88 319
89 184
90 35
91 425
92 588
93 124
94 980
95 722
96 405
97 44
98 544
99 867
100 280
EOF
