NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 75
3 420
4 248
5 912
6 722
7 513
8 220
9 408
10 765
11 40
12 570
13 893
14 216
15 425
16 602
17 128
18 49
19 195
20 476
21 540
22 385
23 208
24 369
25 248
26 816
27 185
28 286
29 484
30 165
31 50
32 320
33 174
34 828
35 504
36 275
37 798
38 124
39 882
40 152
41 513
42 765
43 68
44 612
45 246
46 510
47 329
48 740
49 52
50 473
51 224
52 50
53 546
54 448
55 368
56 35
57 936
58 336
59 62
60 384
61 666
62 459
63 440
64 33
65 204
66 560
67 464
68 705
69 468
70 475
71 215
72 96
73 931
74 152
75 28
76 495
77 34
78 832
79 164
80 570
81 720
82 74
83 520
84 528
85 528
86 500
87 390
88 348
89 414
90 35
91 350
92 798
93 124
94 490
95 304
96 459
97 660
98 476
99 816
100 280
EOF
