NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 450
3 420
4 248
5 192
6 418
7 324
8 616
9 544
10 714
11 800
12 330
13 940
14 540
15 500
16 258
17 608
18 637
19 234
20 392
21 360
22 210
23 832
24 287
25 186
26 432
27 296
28 416
29 88
30 231
31 1000
32 120
33 551
34 92
35 396
36 350
37 546
38 341
39 196
40 342
41 81
42 360
43 340
44 357
45 41
46 450
47 611
48 629
49 208
50 215
51 608
52 850
53 585
54 364
55 828
56 105
57 728
58 84
59 372
60 144
61 703
62 108
63 704
64 33
65 306
66 360
67 174
68 376
69 504
70 200
71 645
72 288
73 343
74 570
75 224
76 810
77 68
78 156
79 287
80 90
81 816
82 333
83 182
84 440
85 99
86 350
87 468
88 464
89 184
90 490
91 450
92 210
93 434
94 196
95 114
96 108
97 440
98 510
99 663
100 240
EOF
