NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 25
3 630
4 217
5 432
6 570
7 486
8 704
9 272
10 612
11 400
12 120
13 423
14 396
15 300
16 602
17 320
18 735
19 273
20 84
21 180
22 455
23 884
24 738
25 341
26 912
27 222
28 338
29 572
30 264
31 800
32 40
33 29
34 828
35 612
36 500
37 378
38 248
39 882
40 266
41 54
42 180
43 340
44 918
45 492
46 480
47 799
48 148
49 338
50 516
51 448
52 50
53 663
54 476
55 92
56 315
57 156
58 714
59 620
60 96
61 185
62 270
63 440
64 429
65 306
66 720
67 493
68 282
69 504
70 75
71 645
72 224
73 441
74 494
75 56
76 810
77 510
78 364
79 574
80 210
81 144
82 333
83 494
84 308
85 99
86 850
87 117
88 203
89 690
90 175
91 125
92 798
93 217
94 833
95 38
96 270
97 484
98 34
99 408
100 40
EOF
