NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 425
3 252
4 279
5 528
6 76
7 459
8 176
9 306
10 714
11 400
12 450
13 94
14 180
15 175
16 602
17 32
18 735
19 390
20 112
21 720
22 70
23 728
24 41
25 186
26 288
27 444
28 156
29 484
30 363
31 350
32 120
33 203
34 414
35 108
36 375
37 588
38 186
39 294
40 684
41 27
42 855
43 408
44 510
45 123
46 480
47 564
48 333
49 52
50 172
51 416
52 400
53 585
54 560
55 92
56 420
57 936
58 378
59 558
60 288
61 666
62 108
63 660
64 231
65 1020
66 280
67 203
68 940
69 468
70 500
71 172
72 32
73 882
74 228
75 532
76 630
77 408
78 728
79 164
80 150
81 96
82 481
83 260
84 572
85 297
86 700
87 624
88 377
89 414
90 525
91 450
92 504
93 403
94 294
95 418
96 54
97 792
98 306
99 612
100 80
EOF
