NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 500
3 798
4 434
5 912
6 494
7 351
8 88
9 612
10 204
11 680
12 450
13 517
14 612
15 450
16 86
17 320
18 196
19 390
20 28
21 315
22 490
23 416
24 410
25 527
26 720
27 333
28 286
29 176
30 165
31 650
32 160
33 551
34 368
35 540
36 500
37 84
38 186
39 294
40 760
41 189
42 45
43 680
44 510
45 410
46 210
47 141
48 222
49 78
50 301
51 288
52 550
53 429
54 420
55 920
56 700
57 1040
58 42
59 62
60 768
61 222
62 297
63 572
64 429
65 918
66 640
67 145
68 376
69 72
70 325
71 301
72 448
73 588
74 570
75 476
76 315
77 510
78 156
79 492
80 120
81 96
82 370
83 104
84 352
85 429
86 800
87 585
88 464
89 598
90 560
91 500
92 504
93 589
94 343
95 190
96 135
97 396
98 680
99 663
100 640
EOF
