NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 500
3 294
4 93
5 384
6 190
7 540
8 440
9 68
10 306
11 640
12 360
13 893
14 360
15 150
16 516
17 64
18 147
19 507
20 336
21 675
22 420
23 624
24 451
25 496
26 480
27 629
28 338
29 308
30 165
31 900
32 120
33 29
34 736
35 36
36 275
37 546
38 62
39 539
40 418
41 432
42 315
43 578
44 510
45 164
46 60
47 893
48 481
49 26
50 43
51 448
52 650
53 156
54 392
55 138
56 385
57 364
58 126
59 465
60 624
61 481
62 27
63 264
64 330
65 510
66 480
67 377
68 940
69 540
70 475
71 129
72 544
73 147
74 380
75 196
76 360
77 442
78 1040
79 615
80 330
81 720
82 407
83 312
84 396
85 429
86 50
87 507
88 522
89 322
90 315
91 150
92 588
93 31
94 588
95 266
96 216
97 748
98 612
99 306
100 400
EOF
