NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 325
3 126
4 341
5 816
6 608
7 189
8 572
9 442
10 255
11 600
12 90
13 329
14 432
15 425
16 860
17 416
18 931
19 312
20 196
21 540
22 280
23 1040
24 82
25 31
26 528
27 666
28 286
29 616
30 99
31 600
32 400
33 435
34 368
35 108
36 275
37 546
38 403
39 392
40 722
41 432
42 855
43 204
44 612
45 492
46 120
47 188
48 481
49 260
50 344
51 416
EOF
