NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 100
3 378
4 217
5 672
6 608
7 162
8 748
9 442
10 867
11 160
12 90
13 282
14 252
15 25
16 301
17 544
18 833
19 429
20 392
21 810
22 140
23 156
24 779
25 248
26 960
27 592
28 468
29 132
30 297
31 550
32 760
33 29
34 46
35 720
36 475
37 252
38 124
39 735
40 570
41 513
42 90
43 408
44 561
45 205
46 540
47 658
48 518
49 494
50 301
51 256
EOF
