NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 250
3 546
4 279
5 816
6 646
7 270
8 880
9 680
10 765
11 760
12 360
13 705
14 216
15 450
16 516
17 512
18 539
19 741
20 336
21 765
22 175
23 884
24 164
25 589
26 96
27 222
28 130
29 132
30 495
31 950
32 600
33 522
34 920
35 108
36 125
37 420
38 527
39 882
40 266
41 540
42 675
43 102
44 765
45 41
46 330
47 893
48 629
49 260
50 387
51 352
EOF
