NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 175
3 42
4 279
5 240
6 608
7 378
8 308
9 476
10 255
11 680
12 120
13 423
14 324
15 225
16 645
17 128
18 833
19 741
20 224
21 855
22 385
23 364
24 41
25 589
26 672
27 703
28 52
29 616
30 528
31 650
32 360
33 580
34 46
35 684
36 150
37 252
38 527
39 882
40 342
41 540
42 765
43 510
44 459
45 451
46 360
47 188
48 296
49 286
50 774
51 480
EOF
