NAME: eil51_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil51 with all 50 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 25
3 252
4 558
5 240
6 494
7 135
8 528
9 306
10 306
11 80
12 270
13 141
14 216
15 200
16 129
17 640
18 98
19 468
20 420
21 675
22 175
23 52
24 369
25 279
26 144
27 37
28 52
29 704
30 627
31 450
32 160
33 551
34 322
35 216
36 225
37 504
38 248
39 882
40 114
41 54
42 900
43 544
44 1020
45 410
46 120
47 235
48 185
49 234
50 774
51 480
EOF
