customer_id,job_time
1,122638
2,671835
3,265224
4,1299290
5,776636
6,4397160
7,7728994
8,966119
9,6003420
10,3410262
11,7307488
12,879415
13,4962364
14,1951929
15,208850
16,660090
17,6684456
18,7878810
19,1371135
20,2294243
21,4993188
22,2377269
23,1040350
24,5140208
25,5053728
26,741836
27,2970348
28,1308051
29,1947648
30,2753160
31,157410
32,4795036
33,655491
34,527715
35,5190584
36,265620
37,10613133
38,682672
39,4769785
40,2962015
41,319710
42,556519
43,1096872
44,1327664
45,1057716
46,5665740
47,2450860
48,7836576
49,3791472
50,350137
51,2666668
52,7921152
53,9024309
54,2577770
55,6271485
56,3495205
57,344140
58,3895266
59,6506255
60,6351002
61,2718092
62,573523
63,1543128
64,7238439
65,3590488
66,750470
67,1815135
68,4149153
69,7259121
70,1253646
71,6821975
72,9768680
73,2452644
74,4952965
75,1014815
76,592347
77,1124066
78,11451789
79,8379816
80,9507900
81,977118
82,3392190
83,7044462
84,5249664
85,4031892
86,3483354
87,5080560
88,167489
89,9662004
90,4254362
91,534236
92,11912265
93,2228457
94,865990
95,1853510
96,3620876
97,7715040
98,5876472
99,347648
100,1517990
101,2653920
102,5847035
103,1344470
104,6493430
105,137010
106,481434
107,10807232
108,29332
109,586826
110,5892840
111,66730
112,2700120
113,811878
114,2027746
115,3406468
116,5665104
117,4002186
118,9718119
119,6977509
120,5875576
121,351959
122,4572950
123,2451250
124,10578920
125,25218
126,6266246
127,1011720
128,1967656
129,139862
130,2415188
131,738976
132,1073500
133,10402570
134,5613966
135,4490505
136,3695700
137,8179024
138,7347120
139,7604292
140,439298
141,738534
142,2288682
143,3081112
144,6595626
145,7735180
146,4685408
147,8642172
148,1159943
149,875051
150,6627564
151,1155134
152,4871140
153,11227878
154,773970
155,9713240
156,5999508
157,4312810
158,1903345
159,4161950
160,354120
161,517792
162,960741
163,3986784
164,881888
165,5377925
166,1607320
167,106476
168,12021620
169,3258090
170,4012515
171,152892
172,1638412
173,4553840
174,1551764
175,810888
176,4116720
177,985026
178,1108224
179,3706530
180,771768
181,1613480
182,499726
183,903898
184,90556
185,1604792
186,3048846
187,9147710
188,166518
189,308835
190,3042069
191,1191310
192,880944
193,120099
194,387510
195,8844773
196,4092399
197,395988
198,1531986
199,835120
200,5921400
201,2224968
202,5473433
203,10282680
204,1542852
205,8138480
206,451922
207,8169800
208,8992930
209,2161728
210,2229528
211,7840092
212,1784690
213,6688188
214,4189855
215,505348
216,5137692
217,5458792
218,5598615
219,7397940
220,110431
221,6499632
222,3694072
223,3322188
224,854088
225,983917
226,1119332
227,996822
228,70053
229,523430
230,7454748
231,3126350
232,7098834
233,6838250
234,339681
235,3645444
236,858978
237,3953706
238,646545
239,2415456
240,684608
241,3344425
242,71975
243,744654
244,7102408
245,11902599
246,10791232
247,4229644
248,3305984
249,3753850
250,1665822
251,1038786
252,1358243
253,645943
254,10089190
255,216384
256,592492
257,374296
258,3290445
259,1375312
260,1878585
261,5223935
262,8080440
263,710856
264,12071295
265,3725286
266,2972634
267,2097168
268,540448
269,3045456
270,4192092
271,3549948
272,9079970
273,1944475
274,2574912
275,6020226
276,758320
277,166955
278,2377953
279,1505511
280,1110618
281,517029
282,7305400
283,8254720
284,803712
285,7685160
286,3946724
287,703015
288,1616938
289,9014088
290,31941
291,3128616
292,1820124
293,5446032
294,637264
295,1857441
296,11395280
297,313176
298,10373650
299,6149668
300,2884362
301,6648762
302,5643498
303,258142
304,3080770
305,8141648
306,2573670
307,108130
308,1725700
309,439421
