customer_id,processing_time
1,868
2,5398
3,5234
4,5199
5,3780
6,3100
7,5742
8,6273
9,474
10,5342
11,4434
12,5586
13,6239
14,3452
15,3179
16,2927
17,138
18,1693
19,777
20,2399
21,5619
22,2441
23,5319
24,5059
25,6428
26,1192
27,4563
28,3393
29,4125
30,6404
31,4851
32,2912
33,482
34,1090
35,2566
36,2055
37,2755
38,983
39,1814
40,197
41,2742
42,3013
43,4666
44,1907
45,1275
46,1536
47,3210
48,3564
49,3898
50,654
51,6172
52,2896
53,6318
54,5401
55,2443
56,608
57,2371
58,2069
59,249
60,2049
61,2832
62,2620
63,1371
64,6243
65,5494
66,1486
67,2564
68,783
69,4022
70,42
71,6357
72,3160
73,1963
74,1593
75,3951
76,3081
77,1029
78,3469
79,2621
80,5233
81,3851
82,1508
83,4806
84,5683
85,169
86,4305
87,1989
88,1003
89,6421
90,4919
91,3350
92,4559
93,3806
94,1283
95,1024
96,6447
97,345
98,886
99,1084
100,4895
101,4001
102,6368
103,4867
104,6339
105,387
106,500
107,5284
108,2070
109,3892
110,72
111,2576
112,5471
113,5256
114,2035
115,2703
116,1503
117,5266
118,5626
119,399
120,5802
121,4522
122,6440
123,4482
124,5900
125,3569
126,2286
127,6192
128,3107
129,6286
130,208
131,5967
132,4883
133,3112
134,4606
135,2462
136,3653
137,5855
138,812
139,6250
140,2739
141,5999
142,2781
143,1578
144,5064
145,5589
146,2698
147,3848
148,1036
149,510
150,4501
151,878
152,4496
153,214
154,5142
155,5985
156,1492
157,871
158,2798
159,571
160,5124
161,4199
162,6027
163,1765
164,6382
165,1686
166,3250
167,4644
168,1067
169,5287
170,1730
171,3322
172,3165
173,5923
174,2633
175,2737
176,1605
177,3068
178,2701
179,4899
180,5155
181,5747
182,3635
183,1371
184,1989
185,5458
186,1671
187,1537
188,2046
189,5600
190,3310
191,2245
192,5512
193,5504
194,1314
195,4037
196,2683
197,5076
198,5872
199,1290
200,717
201,5583
