customer_id,job_time
1,260
2,255
3,1368
4,305
5,315
6,498
7,870
8,675
9,300
10,792
11,360
12,54
13,308
14,954
15,36
16,176
17,360
18,760
19,16
20,768
21,420
22,273
23,627
24,1064
25,870
26,242
27,89
28,980
29,364
30,472
31,546
32,460
33,960
34,960
35,300
36,248
37,310
38,705
39,930
40,867
41,660
42,704
43,27
44,204
45,49
46,168
47,803
48,234
49,18
50,28
51,445
52,600
53,266
54,99
55,270
56,424
57,38
58,924
59,1196
60,120
61,426
62,440
63,40
64,799
65,455
66,1092
67,1620
68,360
69,700
70,12
71,14
72,48
73,270
74,8
75,648
76,63
77,324
78,1260
79,616
80,204
81,962
82,434
83,182
84,240
85,195
86,288
87,1092
88,435
89,62
90,800
91,340
92,960
93,246
94,1060
95,216
96,520
97,979
98,120
99,328
100,290
