NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 150
3 546
4 434
5 336
6 228
7 540
8 484
9 476
10 408
11 360
12 180
13 705
14 576
15 400
16 473
17 192
18 294
19 468
20 532
21 225
22 35
23 728
24 123
25 403
26 576
27 666
28 78
29 220
30 660
31 250
32 40
33 348
34 874
35 216
36 125
37 798
38 310
39 196
40 114
41 297
42 630
43 238
44 102
45 205
46 570
47 517
48 407
49 494
50 559
51 256
52 700
53 312
54 420
55 230
56 490
57 312
58 840
59 310
60 288
61 74
62 378
63 572
64 99
65 561
66 360
67 580
68 799
69 36
70 450
71 473
72 128
73 343
74 266
75 112
76 360
77 612
78 104
79 82
80 270
81 912
82 666
83 208
84 264
85 99
86 150
87 234
88 145
89 184
90 210
91 75
92 504
93 310
94 833
95 152
96 324
97 792
98 170
99 714
100 720
101 420
EOF
