NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 75
3 294
4 589
5 384
6 532
7 540
8 572
9 510
10 918
11 760
12 450
13 611
14 72
15 475
16 731
17 512
18 343
19 117
20 168
21 630
22 560
23 832
24 328
25 93
26 960
27 222
28 130
29 660
30 429
31 50
32 600
33 319
34 874
35 612
36 450
37 840
38 496
39 882
40 532
41 324
42 360
43 238
44 969
45 410
46 210
47 188
48 740
49 78
50 559
51 352
52 500
53 273
54 28
55 782
56 665
57 572
58 252
59 248
60 192
61 185
62 54
63 264
64 132
65 969
66 120
67 348
68 47
69 432
70 400
71 559
72 288
73 490
74 722
75 420
76 450
77 544
78 52
79 82
80 30
81 240
82 518
83 468
84 660
85 429
86 500
87 390
88 522
89 644
90 560
91 325
92 420
93 589
94 735
95 722
96 405
97 440
98 102
99 714
100 280
101 390
EOF
