NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 125
3 336
4 62
5 912
6 418
7 459
8 616
9 170
10 1020
11 640
12 210
13 893
14 648
15 425
16 817
17 288
18 196
19 312
20 168
21 180
22 35
23 988
24 615
25 155
26 96
27 222
28 104
29 704
30 66
31 800
32 440
33 290
34 782
35 432
36 175
37 420
38 434
39 588
40 418
41 432
42 855
43 170
44 255
45 82
46 240
47 47
48 74
49 260
50 387
51 608
52 700
53 390
54 364
55 138
56 175
57 1040
58 336
59 589
60 96
61 37
62 135
63 528
64 132
65 255
66 160
67 203
68 705
69 396
70 325
71 516
72 544
73 980
74 494
75 196
76 495
77 646
78 572
79 656
80 30
81 864
82 518
83 78
84 836
85 660
86 350
87 117
88 261
89 552
90 630
91 250
92 294
93 279
94 539
95 494
96 351
97 352
98 102
99 153
100 320
101 540
EOF
