NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 125
3 126
4 93
5 96
6 152
7 459
8 660
9 578
10 102
11 320
12 360
13 846
14 504
15 500
16 86
17 96
18 735
19 78
20 448
21 450
22 70
23 416
24 820
25 155
26 576
27 148
28 494
29 880
30 660
31 450
32 480
33 174
34 920
35 396
36 100
37 672
38 124
39 294
40 228
41 135
42 720
43 442
44 459
45 328
46 240
47 846
48 555
49 156
50 258
51 32
52 600
53 390
54 140
55 230
56 140
57 676
58 252
59 403
60 528
61 333
62 513
63 572
64 231
65 357
66 40
67 522
68 329
69 252
70 250
71 430
72 320
73 735
74 38
75 280
76 765
77 578
78 832
79 697
80 600
81 912
82 407
83 26
84 396
85 495
86 50
87 234
88 29
89 552
90 700
91 325
92 714
93 372
94 147
95 760
96 297
97 308
98 510
99 816
100 360
101 600
EOF
