NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 175
3 252
4 558
5 528
6 266
7 486
8 572
9 238
10 204
11 40
12 330
13 94
14 396
15 150
16 387
17 256
18 833
19 312
20 504
21 45
22 420
23 936
24 246
25 434
26 960
27 222
28 494
29 880
30 66
31 100
32 600
33 377
34 828
35 504
36 150
37 630
38 434
39 392
40 304
41 162
42 810
43 238
44 867
45 820
46 390
47 329
48 259
49 416
50 602
51 96
52 850
53 429
54 112
55 828
56 455
57 312
58 546
59 465
60 192
61 296
62 378
63 792
64 330
65 204
66 40
67 87
68 329
69 180
70 425
71 258
72 224
73 392
74 760
75 140
76 180
77 612
78 884
79 328
80 360
81 288
82 555
83 520
84 132
85 561
86 800
87 429
88 29
89 598
90 560
91 400
92 546
93 124
94 98
95 532
96 324
97 836
98 204
99 51
100 720
101 510
EOF
