NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 375
3 504
4 31
5 720
6 532
7 135
8 704
9 680
10 1020
11 480
12 330
13 376
14 72
15 150
16 387
17 384
18 343
19 78
20 84
21 270
22 280
23 988
24 738
25 279
26 768
27 222
28 208
29 44
30 231
31 450
32 200
33 58
34 230
35 648
36 250
37 630
38 93
39 931
40 38
41 81
42 675
43 204
44 306
45 205
46 300
47 94
48 444
49 52
50 645
51 448
52 450
53 702
54 420
55 184
56 560
57 832
58 462
59 279
60 672
61 148
62 540
63 880
64 198
65 459
66 80
67 377
68 564
69 648
70 200
71 774
72 480
73 245
74 608
75 140
76 495
77 578
78 156
79 246
80 150
81 528
82 740
83 52
84 836
85 363
86 650
87 507
88 522
89 460
90 315
91 425
92 210
93 248
94 784
95 304
96 189
97 660
98 646
99 153
100 240
101 120
EOF
