NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 300
3 588
4 62
5 432
6 418
7 54
8 44
9 476
10 408
11 480
12 330
13 376
14 576
15 175
16 86
17 608
18 637
19 351
20 532
21 630
22 700
23 312
24 615
25 465
26 144
27 148
28 494
29 528
30 165
31 950
32 520
33 232
34 506
35 252
36 50
37 504
38 589
39 735
40 38
41 162
42 540
43 408
44 204
45 246
46 510
47 282
48 555
49 364
50 301
51 448
52 500
53 312
54 84
55 506
56 700
57 520
58 714
59 620
60 864
61 703
62 297
63 880
64 429
65 612
66 400
67 406
68 658
69 288
70 250
71 473
72 288
73 490
74 304
75 280
76 405
77 102
78 520
79 820
80 120
81 624
82 703
83 520
84 836
85 264
86 1000
87 312
88 261
89 414
90 665
91 375
92 420
93 248
94 931
95 342
96 378
97 396
98 34
99 867
100 720
101 180
EOF
