NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 150
3 840
4 341
5 336
6 456
7 54
8 572
9 272
10 816
11 320
12 90
13 188
14 648
15 50
16 387
17 416
18 784
19 351
20 112
21 360
22 35
23 832
24 451
25 248
26 864
27 370
28 104
29 792
30 363
31 250
32 40
33 87
34 368
35 468
36 150
37 546
38 62
39 833
40 380
41 351
42 360
43 646
44 816
45 492
46 390
47 141
48 407
49 234
50 688
51 64
52 600
53 429
54 252
55 874
56 105
57 312
58 126
59 372
60 144
61 518
62 243
63 132
64 99
65 969
66 440
67 319
68 658
69 324
70 25
71 817
72 96
73 931
74 494
75 532
76 315
77 646
78 572
79 615
80 540
81 768
82 444
83 156
84 88
85 528
86 50
87 195
88 29
89 414
90 210
91 350
92 252
93 31
94 147
95 760
96 432
97 176
98 170
99 153
100 200
101 300
EOF
