NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 450
3 672
4 403
5 480
6 38
7 108
8 836
9 136
10 867
11 440
12 270
13 846
14 648
15 50
16 559
17 320
18 490
19 195
20 28
21 90
22 455
23 312
24 779
25 527
26 768
27 555
28 442
29 704
30 264
31 550
32 680
33 319
34 598
35 468
36 250
37 546
38 310
39 196
40 760
41 378
42 225
43 238
44 510
45 246
46 120
47 940
48 185
49 364
50 215
51 192
52 150
53 273
54 168
55 46
56 350
57 156
58 84
59 310
60 288
61 740
62 243
63 792
64 231
65 204
66 400
67 464
68 799
69 684
70 100
71 129
72 512
73 980
74 570
75 140
76 630
77 646
78 1040
79 820
80 600
81 432
82 703
83 442
84 176
85 198
86 850
87 273
88 116
89 828
90 35
91 50
92 336
93 434
94 686
95 532
96 27
97 264
98 34
99 102
100 40
101 360
EOF
