NAME: eil101_full_jobs
TYPE: VRP-RPD
COMMENT: Full eil101 with all 100 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 450
3 504
4 62
5 336
6 380
7 162
8 308
9 476
10 306
11 200
12 60
13 376
14 252
15 250
16 645
17 320
18 294
19 351
20 392
21 315
22 140
23 52
24 410
25 248
26 720
27 703
28 364
29 748
30 429
31 900
32 40
33 58
34 828
35 396
36 125
37 798
38 279
39 637
40 722
41 54
42 225
43 102
44 816
45 615
46 300
47 141
48 555
49 234
50 301
51 64
52 500
53 273
54 308
55 92
56 175
57 416
58 756
59 372
60 96
61 222
62 162
63 792
64 660
65 459
66 560
67 377
68 517
69 216
70 375
71 473
72 192
73 343
74 266
75 140
76 765
77 170
78 1040
79 328
80 30
81 240
82 37
83 130
84 484
85 429
86 950
87 156
88 203
89 322
90 35
91 200
92 42
93 248
94 343
95 342
96 378
97 660
98 510
99 153
100 160
101 420
EOF
