customer_id,processing_time
1,52
2,15
3,72
4,61
5,21
6,83
7,87
8,75
9,75
10,88
11,24
12,3
13,22
14,53
15,2
16,88
17,30
18,38
19,2
20,64
21,60
22,21
23,33
24,76
25,58
26,22
27,89
28,49
29,91
30,59
31,42
32,92
33,60
34,80
35,15
36,62
37,62
38,47
39,62
40,51
41,55
42,64
43,3
44,51
45,7
46,21
47,73
48,39
49,18
50,4
51,89
52,60
53,14
54,9
55,90
56,53
57,2
58,84
59,92
60,60
61,71
62,44
63,8
64,47
65,35
66,78
67,81
68,36
69,50
70,4
71,2
72,6
73,54
74,4
75,54
76,63
77,18
78,90
79,44
80,34
81,74
82,62
83,14
84,48
85,15
86,72
87,78
88,87
89,62
90,40
91,85
92,80
93,82
94,53
95,24
96,26
97,89
98,60
99,41
100,29
