NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 75
3 420
4 279
5 192
6 38
7 243
8 352
9 306
10 459
11 200
12 240
13 376
14 360
15 225
16 387
17 288
18 147
19 195
20 112
21 360
22 210
23 520
24 287
25 279
26 336
27 333
28 182
29 132
30 264
31 250
32 360
33 87
34 184
35 36
36 25
37 420
38 248
39 98
40 228
41 135
42 360
43 204
44 510
45 246
46 30
47 94
48 148
49 104
50 301
51 256
52 150
53 78
54 56
55 276
56 245
57 416
58 378
59 62
60 240
61 37
62 243
63 132
64 297
65 153
66 200
67 203
68 235
69 360
70 50
71 172
72 256
73 98
74 266
75 168
76 45
77 340
78 260
79 123
80 120
81 96
82 222
83 260
84 308
85 132
86 400
87 351
88 58
89 184
90 70
91 250
92 84
93 186
94 98
95 342
96 54
97 176
98 238
99 510
100 40
EOF
