NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 250
3 210
4 217
5 96
6 304
7 108
8 44
9 204
10 102
11 240
12 60
13 188
14 144
15 75
16 43
17 320
18 343
19 312
20 112
21 45
22 350
23 156
24 205
25 31
26 384
27 185
28 52
29 176
30 198
31 500
32 280
33 203
34 276
35 144
36 100
37 420
38 31
39 196
40 266
41 108
42 405
43 204
44 408
45 205
46 120
47 188
48 370
49 52
50 430
51 192
52 450
53 39
54 28
55 46
56 315
57 260
58 84
59 217
60 144
61 259
62 216
63 264
64 33
65 102
66 200
67 203
68 423
69 144
70 50
71 215
72 224
73 294
74 38
75 28
76 180
77 340
78 260
79 246
80 180
81 432
82 185
83 182
84 220
85 99
86 50
87 78
88 261
89 92
90 350
91 25
92 126
93 124
94 147
95 38
96 54
97 308
98 204
99 102
100 400
EOF
