NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 25
3 210
4 248
5 480
6 38
7 135
8 308
9 170
10 255
11 400
12 150
13 47
14 216
15 225
16 86
17 192
18 98
19 390
20 112
21 450
22 175
23 156
24 328
25 279
26 480
27 74
28 52
29 440
30 99
31 350
32 360
33 290
34 46
35 36
36 250
37 378
38 217
39 49
40 266
41 243
42 90
43 170
44 255
45 82
46 210
47 329
48 259
49 52
50 86
51 256
52 400
53 117
54 280
55 230
56 105
57 52
58 294
59 248
60 48
61 333
62 27
63 264
64 297
65 306
66 360
67 87
68 235
69 36
70 125
71 430
72 256
73 392
74 380
75 168
76 360
77 102
78 260
79 41
80 30
81 192
82 37
83 104
84 88
85 198
86 100
87 351
88 203
89 92
90 280
91 150
92 420
93 279
94 490
95 266
96 81
97 132
98 170
99 510
100 200
EOF
