NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 100
3 126
4 248
5 288
6 342
7 243
8 396
9 68
10 102
11 360
12 180
13 470
14 108
15 25
16 301
17 128
18 49
19 195
20 56
21 315
22 210
23 156
24 328
25 93
26 336
27 74
28 234
29 440
30 66
31 50
32 400
33 174
34 184
35 72
36 25
37 42
38 62
39 392
40 380
41 81
42 270
43 68
44 204
45 287
46 90
47 141
48 148
49 234
50 43
51 64
52 200
53 312
54 28
55 138
56 35
57 520
58 378
59 62
60 480
61 185
62 27
63 88
64 165
65 357
66 400
67 203
68 94
69 144
70 175
71 43
72 256
73 392
74 114
75 224
76 135
77 34
78 260
79 246
80 30
81 480
82 333
83 26
84 308
85 132
86 300
87 156
88 116
89 184
90 210
91 25
92 84
93 217
94 147
95 266
96 81
97 264
98 68
99 51
100 200
EOF
