NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 200
3 294
4 155
5 96
6 380
7 135
8 440
9 204
10 459
11 160
12 90
13 282
14 72
15 250
16 430
17 32
18 98
19 39
20 84
21 315
22 140
23 208
24 205
25 310
26 144
27 111
28 208
29 352
30 264
31 50
32 360
33 174
34 460
35 180
36 75
37 294
38 279
39 147
40 152
41 270
42 270
43 204
44 255
45 164
46 150
47 235
48 333
49 78
50 86
51 128
52 450
53 39
54 56
55 92
56 210
57 312
58 336
59 217
60 480
61 185
62 54
63 264
64 66
65 204
66 400
67 261
68 282
69 216
70 100
71 129
72 128
73 392
74 228
75 28
76 405
77 136
78 520
79 328
80 120
81 96
82 296
83 156
84 132
85 198
86 150
87 156
88 87
89 230
90 140
91 125
92 126
93 62
94 196
95 380
96 162
97 352
98 340
99 357
100 240
EOF
