NAME: kroA100_full_jobs
TYPE: VRP-RPD
COMMENT: Full kroA100 with all 99 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 225
3 378
4 310
5 48
6 266
7 27
8 440
9 68
10 408
11 240
12 30
13 376
14 216
15 50
16 430
17 96
18 343
19 312
20 224
21 270
22 35
23 260
24 287
25 62
26 336
27 111
28 78
29 396
30 165
31 200
32 400
33 203
34 276
35 252
36 225
37 378
38 248
39 147
40 38
41 81
42 45
43 170
44 459
45 328
46 60
47 47
48 148
49 182
50 258
51 128
52 250
53 312
54 196
55 230
56 70
57 260
58 210
59 93
60 384
61 74
62 270
63 352
64 165
65 306
66 160
67 58
68 235
69 216
70 250
71 258
72 192
73 49
74 342
75 28
76 45
77 102
78 520
79 41
80 210
81 480
82 222
83 130
84 352
85 132
86 300
87 273
88 145
89 138
90 280
91 75
92 420
93 155
94 196
95 266
96 54
97 44
98 340
99 51
100 400
EOF
