NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 225
3 168
4 186
5 336
6 76
7 162
8 440
9 204
10 102
11 200
12 270
13 235
14 252
15 150
16 301
17 160
18 441
19 117
20 112
21 315
22 245
23 156
24 410
25 310
26 240
27 259
28 234
29 44
30 165
31 250
32 160
33 203
34 460
35 360
36 150
37 336
38 248
39 392
40 152
41 243
42 360
43 102
44 102
45 205
46 270
47 470
48 222
49 52
50 172
51 160
52 200
EOF
