NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 175
3 168
4 155
5 144
6 76
7 189
8 44
9 272
10 204
11 160
12 240
13 282
14 180
15 100
16 172
17 32
18 196
19 273
20 168
21 225
22 70
23 260
24 246
25 279
26 336
27 333
28 156
29 44
30 66
31 250
32 120
33 290
34 230
35 36
36 50
37 420
38 217
39 294
40 228
41 189
42 450
43 306
44 102
45 287
46 300
47 188
48 185
49 26
50 301
51 32
52 450
EOF
