NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 100
3 210
4 279
5 384
6 190
7 27
8 88
9 238
10 255
11 40
12 30
13 282
14 108
15 125
16 129
17 256
18 441
19 273
20 252
21 45
22 70
23 104
24 123
25 279
26 48
27 222
28 260
29 396
30 99
31 350
32 120
33 29
34 230
35 216
36 25
37 252
38 124
39 196
40 76
41 162
42 405
43 238
44 510
45 123
46 120
47 141
48 111
49 182
50 43
51 96
52 300
EOF
