NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 175
3 336
4 248
5 192
6 266
7 27
8 132
9 238
10 51
11 280
12 150
13 376
14 180
15 175
16 387
17 256
18 147
19 156
20 140
21 180
22 35
23 520
24 369
25 31
26 288
27 37
28 26
29 440
30 264
31 450
32 360
33 87
34 46
35 324
36 50
37 126
38 62
39 490
40 76
41 108
42 315
43 68
44 510
45 164
46 300
47 470
48 37
49 260
50 86
51 224
52 500
EOF
