NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 25
3 420
4 186
5 384
6 38
7 54
8 264
9 170
10 204
11 40
12 120
13 470
14 72
15 50
16 344
17 64
18 441
19 117
20 84
21 360
22 315
23 156
24 205
25 279
26 480
27 259
28 104
29 396
30 132
31 250
32 280
33 174
34 368
35 324
36 200
37 84
38 124
39 196
40 76
41 162
42 45
43 340
44 459
45 164
46 300
47 188
48 37
49 52
50 43
51 128
52 100
EOF
