NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 50
3 42
4 155
5 192
6 152
7 81
8 88
9 306
10 102
11 400
12 210
13 47
14 36
15 50
16 172
17 128
18 441
19 390
20 28
21 405
22 140
23 468
24 287
25 124
26 384
27 370
28 130
29 44
30 99
31 350
32 240
33 145
34 138
35 144
36 150
37 84
38 62
39 343
40 76
41 162
42 270
43 340
44 255
45 41
46 240
47 423
48 74
49 182
50 86
51 288
52 250
EOF
