NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 250
3 252
4 310
5 192
6 76
7 27
8 176
9 170
10 102
11 160
12 60
13 329
14 180
15 200
16 258
17 96
18 294
19 234
20 112
21 225
22 70
23 520
24 123
25 279
26 192
27 111
28 208
29 308
30 165
31 450
32 160
33 174
34 46
35 144
36 25
37 252
38 217
39 245
40 76
41 108
42 450
43 204
44 204
45 328
46 210
47 376
48 111
49 130
50 129
51 128
52 450
EOF
