NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 225
3 210
4 310
5 336
6 380
7 189
8 264
9 136
10 153
11 360
12 240
13 94
14 36
15 50
16 129
17 96
18 343
19 390
20 56
21 315
22 245
23 520
24 328
25 279
26 240
27 333
28 26
29 88
30 297
31 250
32 240
33 58
34 230
35 252
36 75
37 336
38 31
39 245
40 342
41 81
42 405
43 68
44 255
45 369
46 300
47 188
48 111
49 156
50 129
51 288
52 450
EOF
