NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 250
3 378
4 186
5 240
6 152
7 162
8 176
9 170
10 357
11 120
12 150
13 376
14 216
15 50
16 43
17 256
18 490
19 390
20 56
21 90
22 315
23 208
24 369
25 155
26 144
27 222
28 52
29 176
30 198
31 250
32 120
33 232
34 414
35 180
36 250
37 378
38 31
39 441
40 190
41 54
42 135
43 170
44 102
45 82
46 270
47 141
48 185
49 130
50 430
51 128
52 300
EOF
