NAME: berlin52_full_jobs
TYPE: VRP-RPD
COMMENT: Full berlin52 with all 51 customers (node 1 is depot)
DEPOT: 1
NUM_AGENTS: 6
RESOURCES_PER_AGENT: 4
JOB_TIMES_SECTION
2 25
3 252
4 62
5 432
6 152
7 135
8 352
9 136
10 459
11 120
12 300
13 470
14 288
15 100
16 344
17 224
18 196
19 78
20 56
21 315
22 210
23 364
24 287
25 248
26 48
27 74
28 26
29 308
30 198
31 100
32 160
33 116
34 184
35 324
36 200
37 126
38 217
39 147
40 190
41 216
42 180
43 68
44 408
45 369
46 60
47 47
48 333
49 26
50 86
51 128
52 150
EOF
